Comoound,x(BiMe1Me2)O3,Me1,Me2,Me3,frac-Me1,frac-Me2,frac-Me3,PT-content,Tolerance_Factor,Valence_Electron_Number,Martynov_Batsanov_Electronegativity,Ideal_Bond_Length_Sum,Mendeleev_Number,Formability
BiZnTi,0.6,Zn,Ti,Ti,0.5,0.5,0,0.4,0.9773,11.0000,3.7860,3.8829,134.8000,No
BiZnTi,0.7,Zn,Ti,Ti,0.5,0.5,0,0.3,0.9689,11.5000,3.7870,3.8756,136.6000,No
BiZnTi,0.8,Zn,Ti,Ti,0.5,0.5,0,0.2,0.9606,12.0000,3.7880,3.8682,138.4000,No
BiZnTi,0.9,Zn,Ti,Ti,0.5,0.5,0,0.1,0.9523,12.5000,3.7890,3.8609,140.2000,No
Bi(ScZnTi),0.4,Sc,Zn,Ti,0.5,0.25,0.25,0.6,0.9873,9.0000,3.7540,3.9155,122.2000,Yes
Bi(ScZnTi),0.3,Sc,Zn,Ti,0.5,0.25,0.25,0.7,0.9972,8.7500,3.7605,3.9184,122.6500,Yes
Bi(ScZnTi),0.2,Sc,Zn,Ti,0.5,0.25,0.25,0.8,1.0072,8.5000,3.7670,3.9213,123.1000,Yes
Bi(ScZnTi),0.1,Sc,Zn,Ti,0.5,0.25,0.25,0.9,1.0172,8.2500,3.7735,3.9241,123.5500,Yes
Bi(ScZnTi),0.5,Sc,Zn,Ti,0.5,0.25,0.25,0.5,0.9773,9.2500,3.7475,3.9126,121.7500,No
Bi(ScZnTi),0.6,Sc,Zn,Ti,0.5,0.25,0.25,0.4,0.9673,9.5000,3.7410,3.9098,121.3000,No
Bi(ScMgTi),0.58,Sc,Mg,Ti,0.5,0.25,0.25,0.42,0.9706,8.0000,3.7235,3.9087,121.2450,No
Bi(ScMgTi),0.54,Sc,Mg,Ti,0.5,0.25,0.25,0.46,0.9745,8.0000,3.7274,3.9100,121.4350,No
Bi(ScMgTi),0.52,Sc,Mg,Ti,0.5,0.25,0.25,0.48,0.9765,8.0000,3.7293,3.9106,121.5300,Yes
Bi(ScMgTi),0.5,Sc,Mg,Ti,0.5,0.25,0.25,0.5,0.9784,8.0000,3.7313,3.9113,121.6250,Yes
Bi(ScMgTi),0.48,Sc,Mg,Ti,0.5,0.25,0.25,0.52,0.9804,8.0000,3.7332,3.9119,121.7200,Yes
Bi(ScMgTi),0.46,Sc,Mg,Ti,0.5,0.25,0.25,0.54,0.9823,8.0000,3.7352,3.9125,121.8150,Yes
Bi(ScMgTi),0.44,Sc,Mg,Ti,0.5,0.25,0.25,0.56,0.9843,8.0000,3.7371,3.9131,121.9100,Yes
Bi(ScMgTi),0.42,Sc,Mg,Ti,0.5,0.25,0.25,0.58,0.9862,8.0000,3.7391,3.9138,122.0050,Yes
Bi(ZnZr),0.1,Zn,Zr,Ti,0.5,0.5,0,0.9,1.0163,8.5000,3.7730,3.9258,125.8500,Yes
Bi(ZnZr),0.2,Zn,Zr,Ti,0.5,0.5,0,0.8,1.0053,9.0000,3.7660,3.9245,127.7000,Yes
Bi(ZnZr),0.3,Zn,Zr,Ti,0.5,0.5,0,0.7,0.9944,9.5000,3.7590,3.9233,129.5500,Yes
Bi(ZnZr),0.4,Zn,Zr,Ti,0.5,0.5,0,0.6,0.9835,10.0000,3.7520,3.9220,131.4000,No
Bi(ZnZr),0.5,Zn,Zr,Ti,0.5,0.5,0,0.5,0.9725,10.5000,3.7450,3.9208,133.2500,No
Bi(ZnZr),0.6,Zn,Zr,Ti,0.5,0.5,0,0.4,0.9616,11.0000,3.7380,3.9195,135.1000,No
Bi(MgNb),0.1,Mg,Nb,Ti,0.67,0.33,0,0.9,1.0179,7.9990,3.7708,3.9202,126.3070,Yes
Bi(MgNb),0.2,Mg,Nb,Ti,0.67,0.33,0,0.8,1.0086,7.9980,3.7615,3.9134,128.6140,Yes
Bi(MgNb),0.3,Mg,Nb,Ti,0.67,0.33,0,0.7,0.9993,7.9970,3.7523,3.9066,130.9210,Yes
Bi(MgNb),0.4,Mg,Nb,Ti,0.67,0.33,0,0.6,0.9900,7.9960,3.7430,3.8998,133.2280,No
Bi(MgNb),0.5,Mg,Nb,Ti,0.67,0.33,0,0.5,0.9807,7.9950,3.7338,3.8930,135.5350,No
Bi(MgNb),0.5,Mg,Nb,Ti,0.67,0.33,0,0.5,0.9807,7.9950,3.7338,3.8930,135.5350,No
Bi(MgNb),0.1,Zn,Nb,Ti,0.67,0.33,0,0.9,1.0173,8.6690,3.7795,3.9209,126.3740,Yes
Bi(ZnNb),0.2,Zn,Nb,Ti,0.67,0.33,0,0.8,1.0074,9.3380,3.7789,3.9149,128.7480,Yes
Bi(ZnNb),0.3,Zn,Nb,Ti,0.67,0.33,0,0.7,0.9975,10.0070,3.7784,3.9088,131.1220,Yes
Bi(ZnNb),0.4,Zn,Nb,Ti,0.67,0.33,0,0.6,0.9876,10.6760,3.7779,3.9027,133.4960,No
Bi(ZnNb),0.5,Zn,Nb,Ti,0.67,0.33,0,0.5,0.9777,11.3450,3.7774,3.8967,135.8700,No
Bi(ZnNb),0.5,Zn,Nb,Ti,0.67,0.33,0,0.5,0.9777,11.3450,3.7774,3.8967,135.8700,No
BiLu,0.1,Lu,Lu,Ti,0.5,0.5,0,0.9,1.0108,8.0000,3.7360,3.9384,124.3000,Yes
BiLu,0.3,Lu,Lu,Ti,0.5,0.5,0,0.7,0.9781,8.0000,3.6480,3.9612,124.9000,No
BiScIn,0.55,Sc,In,Ti,0.5,0.5,0,0.45,0.9570,8.0000,3.7388,3.9504,126.7500,Yes
BiScIn,0.54,Sc,In,Ti,0.5,0.5,0,0.46,0.9582,8.0000,3.7395,3.9500,126.7000,Yes
BiScIn,0.53,Sc,In,Ti,0.5,0.5,0,0.47,0.9595,8.0000,3.7403,3.9495,126.6500,Yes
BiScIn,0.52,Sc,In,Ti,0.5,0.5,0,0.48,0.9608,8.0000,3.7410,3.9491,126.6000,Yes
BiScIn,0.51,Sc,In,Ti,0.5,0.5,0,0.49,0.9621,8.0000,3.7418,3.9487,126.5500,Yes
BiScIn,0.5,Sc,In,Ti,0.5,0.5,0,0.5,0.9634,8.0000,3.7425,3.9483,126.5000,Yes
BiSc,0.1,Sc,Sc,Ti,0.5,0.5,0,0.9,1.0156,8.0000,3.7660,3.9286,121.3000,Yes
BiSc,0.2,Sc,Sc,Ti,0.5,0.5,0,0.8,1.0040,8.0000,3.7520,3.9302,118.6000,Yes
